Year;Bird_ID;GLS_ID;Sex;Date;Nest;Nest_content;Capture_method;Headbill;Culmen;Wing;Right_tarsus;Mass;Index_body_condition;Muscle_Pectoral;Score_Personal;Long_Egg;Long_Egg_cm;Larg_Egg;Larg_Egg_cm;Vol_egg;Arrival_date;Arrival_date_num;Arrival_date_propre;Arrival_date_propre_num;date_enter_nest;date_enter_nest_num;Hatch_date;Hatch_date_num;weigh_hatching;Hatching_success;Chick_mass_gain_(g/d)_1st_15d;pente_chick_growth_1-15d;N_SIA_Blood;N_SIA_head_Feather;C_SIA_Blood;C_SIA_head_Feather;Chick_sex;Cortico;Hg_HF;Hg_blood;Season_Hg_Blood;Hg_BF;BF_side;Long_Median_15Oct_20Fev;Lat_Median_15Oct_20Fev;Long_Median_DecJan;Lat_Median_DecJan;Long_Median_Dec_20Fev;Lat_Median_Dec_20Fev;d_PL_15Oct_20Fev;d_PL_DecJan;d_PL_1Dec_20Fev;Max_d_col__Dec_Jan;Max_d_col__15Oct_20Fev;PL_Lat;PL_Long
2011;LIAK11EG03;MK12-12A159;M;17-juil;44(95);E;Nest;NA;NA;122;NA;167;NA;0,93;NA;46,9;4,69;31,68;3,168;24,00564419;NA;NA;NA;NA;NA;NA;28/07/2011;207;NA;NA;NA;6,86;NA;9,4589;NA;-18,49421429;F;9,3;2,47644;1,17078;breeding;1,16434;ventral;47,94168206;59,88302407;49,2819766;58,94039678;50,65104244;59,7217264;1469,313642;1365,74223;1459,144701;NA;NA;NA;NA
2011;LIAK11EG04;MK18-17589;F;18-juil;23;E;Nest;NA;NA;116;NA;147;NA;NA;NA;48,34;4,834;33,16;3,316;27,10852363;NA;NA;20/06/2011;NA;30/06/2011;NA;NA;NA;NA;NA;NA;NA;NA;7,615142857;NA;-18,36221429;NA;3,8;2,73367;NA;breeding;NA;NA;38,64343864;53,08113094;41,66833714;51,97907887;40,8440048;52,19939583;993,2438882;761,8680454;818,2270404;NA;NA;NA;NA
2011;LIAK11EG05;SO-26;M;18-juil;54;E;Nest;NA;NA;117;NA;153;NA;1,05;NA;47,6;4,76;32,95;3,295;26,35651389;NA;NA;NA;NA;NA;NA;27/07/2011;206;NA;NA;NA;6,54;NA;9,056142857;NA;-18,94821429;M;8,9;4,55525;NA;breeding;1,49935;ventral;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG06;SO-19;M;18-juil;5;E;Nest;NA;NA;123;NA;160;NA;1,01;NA;46,95;4,695;33,85;3,385;27,43614685;NA;NA;NA;NA;NA;NA;24/07/2011;203;NA;NA;NA;5,68;NA;11,3921;NA;-19,53021429;F;8,6;2,08908;NA;breeding;2,15296;ventral;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG07;SO-2;M;18-juil;10;E;Nest;NA;NA;122;NA;164;NA;0,98;NA;45,27;4,527;32,98;3,298;25,11203877;NA;NA;NA;NA;NA;NA;21/07/2011;200;NA;NA;NA;5,87;NA;9,0601;NA;-18,31421429;F;7,3;2,84699;NA;breeding;1,10980;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG08;SO-11;M;18-juil;7;E;Nest;NA;NA;117;NA;167;NA;1,1;NA;47,96;4,796;33,22;3,322;26,99284164;NA;NA;NA;NA;NA;NA;21/07/2011;200;NA;NA;NA;4,58;NA;10,5271;NA;-19,46221429;M;9,5;2,92373;NA;breeding;2,67540;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG09;SO-5;M;18-juil;13;E;Nest;NA;NA;122;NA;167;NA;0,97;NA;47,87;4,787;32,67;3,267;26,05744757;NA;NA;NA;NA;NA;NA;24/07/2011;203;NA;NA;NA;6,2;NA;13,0201;NA;-17,31521429;F;5,8;3,69937;NA;breeding;1,867;dorsal;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG10;SO-1;M;18-juil;18;E;Nest;NA;NA;120;NA;159;NA;1,11;NA;45,93;4,593;32,96;3,296;25,44726003;NA;NA;NA;NA;NA;NA;24/07/2011;203;NA;NA;NA;4,97;NA;8,3539;NA;-18,20821429;F;10,9;NA;NA;breeding;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG11;SO-32;M;18-juil;59;E;Nest;NA;NA;113;NA;153;NA;0,99;NA;46,44;4,644;32,95;3,295;25,71421229;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;9,6479;NA;-18,13721429;M;10,3;NA;NA;breeding;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG12;MK12-12A148;M;18-juil;20;EMPTY;Nest;NA;NA;120;NA;141;NA;0,87;NA;NA;NA;NA;NA;NA;NA;NA;10/06/2011;NA;19/06/2011;NA;NA;NA;NA;NA;NA;NA;NA;10,1069;NA;-18,90321429;NA;6,1;2,23304;1,01903;breeding;0,98738;ventral;51,13009636;54,30580639;50,68144108;52,09747075;50,5804843;52,73024175;871,558455;626,8387743;692,816275;NA;NA;NA;NA
2011;LIAK11EG13;MK12-12A154;M;18-juil;28;E;Nest;NA;NA;115;NA;162;NA;0,89;NA;50,82;5,082;34,08;3,408;30,10260008;NA;NA;NA;NA;NA;NA;23/07/2011;202;NA;NA;NA;4,8;NA;7,929142857;NA;-18,57121429;NA;10,5;3,89659;1,15183;breeding;1,12150;ventral;47,7060127;46,10157034;48,4228535;44,70809194;47,99575085;44,89409104;79,38224301;218,4013566;199,2918041;NA;NA;NA;NA
2011;LIAK11EG14;MK12-12A153;M;18-juil;19;E;Nest;NA;NA;122;NA;147;NA;0,86;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;8,9321;NA;-18,10321429;NA;6,6;2,63993;0,64706;breeding;1,09660;ventral;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG15;MK18-17584;M;19-juil;34;E;Nest;NA;NA;118;NA;151;NA;0,99;NA;48,19;4,819;32,62;3,262;26,15140435;NA;NA;06/06/2011;NA;24/06/2011;NA;23/07/2011;202;NA;NA;NA;NA;NA;10,4359;NA;-18,14521429;NA;5,4;3,09184;0,95224;breeding;2,90587;dorsal;44,18968473;50,00105281;44,47868154;48,22863101;44,65680711;48,45783396;480,2192214;337,3662471;339,6775313;NA;NA;NA;NA
2011;LIAK11EG17;Mk12-12A162;F;19-juil;58;E;Nest;NA;NA;118;NA;163;NA;0,97;NA;45,86;4,586;31,91;3,191;23,81539751;NA;NA;NA;NA;NA;NA;27/07/2011;206;NA;NA;NA;NA;NA;10,1921;NA;-18,27021429;M;6,8;2,37728;0,66686;breeding;2,1282;dorsal;34,13387792;54,52025228;35,65695769;53,83646525;34,89240216;53,78280131;1324,461181;1199,589391;1237,075277;NA;NA;NA;NA
2011;LIAK11EG18;Mk12-12A149;F;19-juil;60;?;Nest;NA;NA;120;NA;166;NA;0,98;NA;52,78;5,278;32,81;3,281;28,97690672;NA;NA;07/06/2011;NA;23/06/2011;NA;21/07/2011;200;NA;NA;NA;7,06;NA;8,1851;NA;-17,82021429;F;4,4;3,04076;0,92766;breeding;2,43249;dorsal;47,65984784;46,32081947;47,21912869;45,50501807;47,24198894;45,56501841;64,41020788;155,407339;148,8599398;NA;NA;NA;NA
2011;LIAK11EG19;Mk12-12A163;M;19-juil;51;?;Nest;NA;NA;122;NA;NA;NA;0,975;NA;47,64;4,764;33,26;3,326;26,87734826;NA;NA;NA;NA;NA;NA;21/07/2011;200;NA;NA;NA;6,59;NA;9,5475;NA;-18,97321429;M;6;NA;NA;breeding;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
2011;LIAK11EG20;SO-29;F;19-juil;6;?;Nest;NA;NA;121;NA;150;NA;0,935;NA;44,09;4,409;32,7;3,27;24,04394801;NA;NA;NA;NA;NA;NA;24/07/2011;203;NA;NA;NA;NA;NA;8,7009;NA;-17,97321429;NA;5,7;3,10814;NA;breeding;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
